organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
13YARN,Online,13YARN,Statewide,enquiries@13yarn.org.au,13 92 76,https://www.13yarn.org.au/,,Not applicable,Yes,Yes,Yes,,,,,,Free,Online,Low intensity,Free call,Mental illness prevention,Aboriginal and Torres Strait Islander,Peer worker
1800 My Options,Online,1800 My Options,Statewide,info@1800myoptions.org.au,1800696784,https://www.1800myoptions.org.au/,1800 My Options is a service run by Women's Health Victoria. Address details are taken from here.,No timeframe,No,Yes,No,,8/255 Bourke St,Melbourne,VIC,3000,Free,Online,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Specialised mental health community support services",,Peer worker
1800Respect,Online,Counselling,Statewide,1800RESPECTenquiries@health.telstra.com,1800 737 732,https://www.1800respect.org.au/help-and-support/telephone-and-online-counselling,,No timeframe,Yes,Yes,Yes,24/7 counselling services,,,,,Free,Online,"Low intensity, Self management",Free call,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Families, Specialised Services",
1800Respect,Online,Online information about violence and abuse.,Statewide,1800RESPECTenquiries@health.telstra.com,1800 737 732,Home | 1800RESPECT,,No timeframe,Yes,Yes,Yes,24/7 counselling services,,,,,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention","Families, Specialised Services",
1800Respect,Online,Service directory,Statewide,1800RESPECTenquiries@health.telstra.com,1800 737 732,https://www.1800respect.org.au/services,,No timeframe,Yes,Yes,Yes,24/7 counselling services,,,,,Free,Online,Self management,Free call,Mental health promotion,"Families, Specialised Services",
AASW,Online,Find a Social Worker,Statewide,,03 9320 1000,Find a social worker | AASW,"The service directory is free to access, but services found withinthe directory can be paid",Not applicable,Yes,Yes,Yes,"Online service directory of social workers. While the directory is available 24/7, social workers may require wait times and only be available during standard hours.",Level 7/14-20 Blackwood St,North Melbourne,VIC,3051,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Aborginal Men's Crisis Line,Phone line,Brother to Brother - Dardi Munwurro,Statewide,info@dardimunwurro.com.au,1800435799,Brother To Brother - Dardi Munwurro,,No timeframe,Yes,Yes,Yes,24\7,558 High Street,Preston,VIC,3072,Free,Online,"High intensity, Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention",Aboriginal and Torres Strait Islander,Peer worker
ACA,Online,Find a Counsellor,Statewide,,1300 784 333,Australian Counselling Association (theaca.net.au),"The service directory is free to access, but services found withinthe directory can be paid",Not applicable,Yes,Yes,Yes,"Online service directory of counsellors and psychologists. While the directory is available 24/7, counsellors may require wait times and only be available during standard hours.",Unit 2/42 Finsbury St,Newmarket,QLD,4051,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Access Health Online,Access Health Online,Access Health Online,Statewide,bookings@accesshealthonline.com.au,(03) 8203 5805,https://www.accesshealthonline.com.au/,,Not applicable,No,Yes,No,,,,,,,In person,"Low intensity, Moderate intensity",,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
ACSO,Richmond,ACSO,Statewide,acso@acso.org.au,03 9413 7000,https://www.acso.org.au/,,Not applicable,No,Yes,No,,1 Hoddle Street,Richmond,VIC,3121,Paid,"In person, Online, Outreach","High intensity, Low intensity, Moderate intensity, Self management, Specialist",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","AOD, Homeless, LGBTQIA+, Specialised Services, Young People",Tertiary qualified
Acumen Psychiatry,Alphington,Acumen Psychiatry,Statewide,admin@livingwellpsychiatry.com.au,03 7066 4636,https://www.acumenpsychiatry.com.au/,,Less than a week,No,Yes,No,no opening hours mentioned,PO BOX 5012,Alphington,VIC,3078,Paid,Online,"Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,"Medical, Tertiary qualified"
